"Id","IdDec","Name","Base","Offset","File","Line"
"0x528C","21132","CS_JUMP_ACK","CS_MAP","0x000C","CSProtocol.h","435"
"0x528D","21133","CS_BLOCK_REQ","CS_MAP","0x000D","CSProtocol.h","444"
"0x528E","21134","CS_BLOCK_ACK","CS_MAP","0x000E","CSProtocol.h","452"
"0x528F","21135","CS_MONHOST_ACK","CS_MAP","0x000F","CSProtocol.h","461"
"0x5291","21137","CS_ADDMON_ACK","CS_MAP","0x0011","CSProtocol.h","465"
"0x5292","21138","CS_DELMON_ACK","CS_MAP","0x0012","CSProtocol.h","507"
"0x5293","21139","CS_MONACTION_ACK","CS_MAP","0x0013","CSProtocol.h","511"
"0x5294","21140","CS_MONMOVE_REQ","CS_MAP","0x0014","CSProtocol.h","519"
"0x5295","21141","CS_MONMOVE_ACK","CS_MAP","0x0015","CSProtocol.h","536"
"0x5298","21144","CS_ENTERLB_REQ","CS_MAP","0x0018","CSProtocol.h","550"
"0x5299","21145","CS_LEAVELB_REQ","CS_MAP","0x0019","CSProtocol.h","558"
"0x529A","21146","CS_ENTERAB_REQ","CS_MAP","0x001A","CSProtocol.h","566"
"0x529B","21147","CS_LEAVEAB_REQ","CS_MAP","0x001B","CSProtocol.h","574"
"0x529C","21148","CS_CHGMODE_REQ","CS_MAP","0x001C","CSProtocol.h","582"
"0x529D","21149","CS_CHGMODE_ACK","CS_MAP","0x001D","CSProtocol.h","585"
"0x529E","21150","CS_ATTACK_REQ","CS_MAP","0x001E","CSProtocol.h","590"
"0x529F","21151","CS_ATTACK_ACK","CS_MAP","0x001F","CSProtocol.h","596"
"0x52A0","21152","CS_DEFEND_REQ","CS_MAP","0x0020","CSProtocol.h","607"
"0x52A1","21153","CS_DEFEND_ACK","CS_MAP","0x0021","CSProtocol.h","641"
"0x52A2","21154","CS_HPMP_ACK","CS_MAP","0x0022","CSProtocol.h","677"
"0x52A3","21155","CS_LEVEL_ACK","CS_MAP","0x0023","CSProtocol.h","685"
"0x52A4","21156","CS_EXP_ACK","CS_MAP","0x0024","CSProtocol.h","689"
"0x52A5","21157","CS_DIE_ACK","CS_MAP","0x0025","CSProtocol.h","694"
"0x52A6","21158","CS_REVIVAL_REQ","CS_MAP","0x0026","CSProtocol.h","698"
"0x52A7","21159","CS_REVIVAL_ACK","CS_MAP","0x0027","CSProtocol.h","704"
"0x52A8","21160","CS_MOVEITEM_REQ","CS_MAP","0x0028","CSProtocol.h","710"
"0x52A9","21161","CS_MOVEITEM_ACK","CS_MAP","0x0029","CSProtocol.h","717"
"0x52AA","21162","CS_UPDATEITEM_ACK","CS_MAP","0x002A","CSProtocol.h","720"
"0x52AB","21163","CS_ADDITEM_ACK","CS_MAP","0x002B","CSProtocol.h","742"
"0x52AC","21164","CS_DELITEM_ACK","CS_MAP","0x002C","CSProtocol.h","764"
"0x52AD","21165","CS_EQUIP_ACK","CS_MAP","0x002D","CSProtocol.h","768"
"0x52AE","21166","CS_ACTION_REQ","CS_MAP","0x002E","CSProtocol.h","793"
"0x52AF","21167","CS_ACTION_ACK","CS_MAP","0x002F","CSProtocol.h","803"
"0x52B0","21168","CS_MONATTACK_REQ","CS_MAP","0x0030","CSProtocol.h","812"
"0x52B1","21169","CS_MONATTACK_ACK","CS_MAP","0x0031","CSProtocol.h","822"
"0x52B2","21170","CS_SKILLBUY_REQ","CS_MAP","0x0032","CSProtocol.h","829"
"0x52B3","21171","CS_SKILLBUY_ACK","CS_MAP","0x0033","CSProtocol.h","832"
"0x52B4","21172","CS_SKILLUSE_REQ","CS_MAP","0x0034","CSProtocol.h","844"
"0x52B5","21173","CS_SKILLUSE_ACK","CS_MAP","0x0035","CSProtocol.h","862"
"0x52B6","21174","CS_SKILLEND_REQ","CS_MAP","0x0036","CSProtocol.h","892"
"0x52B7","21175","CS_SKILLEND_ACK","CS_MAP","0x0037","CSProtocol.h","901"
"0x52B9","21177","CS_MONKEEPOWNER_ACK","CS_MAP","0x0039","CSProtocol.h","905"
"0x52C0","21184","CS_PARTYADD_REQ","CS_MAP","0x0040","CSProtocol.h","909"
"0x52C1","21185","CS_PARTYADD_ACK","CS_MAP","0x0041","CSProtocol.h","912"
"0x52C2","21186","CS_PARTYJOINASK_ACK","CS_MAP","0x0042","CSProtocol.h","916"
"0x52C3","21187","CS_PARTYJOIN_REQ","CS_MAP","0x0043","CSProtocol.h","919"
"0x52C4","21188","CS_PARTYJOIN_ACK","CS_MAP","0x0044","CSProtocol.h","923"
"0x52C5","21189","CS_PARTYDEL_REQ","CS_MAP","0x0045","CSProtocol.h","940"
"0x52C6","21190","CS_PARTYDEL_ACK","CS_MAP","0x0046","CSProtocol.h","942"
"0x52C7","21191","CS_PARTYMANSTAT_ACK","CS_MAP","0x0047","CSProtocol.h","948"
"0x52C8","21192","CS_PARTYATTR_ACK","CS_MAP","0x0048","CSProtocol.h","956"
"0x52C9","21193","CS_MONEY_ACK","CS_MAP","0x0049","CSProtocol.h","961"
"0x52CA","21194","CS_ITEMUSE_REQ","CS_MAP","0x004A","CSProtocol.h","965"
"0x52CB","21195","CS_ITEMUSE_ACK","CS_MAP","0x004B","CSProtocol.h","975"
"0x52D0","21200","CS_QUESTADD_ACK","CS_MAP","0x0050","CSProtocol.h","980"
"0x52D1","21201","CS_QUESTLIST_ACK","CS_MAP","0x0051","CSProtocol.h","983"
"0x52D2","21202","CS_QUESTEXEC_REQ","CS_MAP","0x0052","CSProtocol.h","997"
"0x52D3","21203","CS_QUESTUPDATE_ACK","CS_MAP","0x0053","CSProtocol.h","1001"
"0x52D4","21204","CS_QUESTCOMPLETE_ACK","CS_MAP","0x0054","CSProtocol.h","1007"
"0x52D5","21205","CS_QUESTDROP_REQ","CS_MAP","0x0055","CSProtocol.h","1013"
"0x52D6","21206","CS_QUESTLIST_COMPLETE_ACK","CS_MAP","0x0056","CSProtocol.h","1015"
"0x52D7","21207","CS_QUESTSTARTTIMER_ACK","CS_MAP","0x0057","CSProtocol.h","1020"
"0x52D8","21208","CS_QUESTENDTIMER_REQ","CS_MAP","0x0058","CSProtocol.h","1023"
"0x52D9","21209","CS_QUESTLIST_POSSIBLE_REQ","CS_MAP","0x0059","CSProtocol.h","1025"
"0x52DA","21210","CS_QUESTLIST_POSSIBLE_ACK","CS_MAP","0x005A","CSProtocol.h","1030"
"0x52DB","21211","CS_QUESTTALK_REQ","CS_MAP","0x005B","CSProtocol.h","1041"
"0x52E0","21216","CS_GUILDESTABLISH_REQ","CS_MAP","0x0060","CSProtocol.h","1045"
"0x52E1","21217","CS_GUILDESTABLISH_ACK","CS_MAP","0x0061","CSProtocol.h","1047"
"0x52E2","21218","CS_GUILDDISORGANIZATION_REQ","CS_MAP","0x0062","CSProtocol.h","1051"
"0x52E3","21219","CS_GUILDDISORGANIZATION_ACK","CS_MAP","0x0063","CSProtocol.h","1053"
"0x52E4","21220","CS_GUILDINVITE_REQ","CS_MAP","0x0064","CSProtocol.h","1055"
"0x52E5","21221","CS_GUILDINVITE_ACK","CS_MAP","0x0065","CSProtocol.h","1057"
"0x52E6","21222","CS_GUILDINVITEANSWER_REQ","CS_MAP","0x0066","CSProtocol.h","1062"
"0x52E7","21223","CS_GUILDJOIN_ACK","CS_MAP","0x0067","CSProtocol.h","1065"
"0x52E8","21224","CS_GUILDLEAVE_REQ","CS_MAP","0x0068","CSProtocol.h","1071"
"0x52E9","21225","CS_GUILDKICKOUT_REQ","CS_MAP","0x0069","CSProtocol.h","1072"
"0x52EA","21226","CS_GUILDLEAVE_ACK","CS_MAP","0x006A","CSProtocol.h","1074"
"0x52EB","21227","CS_GUILDDUTY_REQ","CS_MAP","0x006B","CSProtocol.h","1078"
"0x52EC","21228","CS_GUILDDUTY_ACK","CS_MAP","0x006C","CSProtocol.h","1081"
"0x52ED","21229","CS_GUILDMEMBERLIST_REQ","CS_MAP","0x006D","CSProtocol.h","1085"
"0x52EE","21230","CS_GUILDMEMBERLIST_ACK","CS_MAP","0x006E","CSProtocol.h","1086"
"0x52EF","21231","CS_GUILDATTR_ACK","CS_MAP","0x006F","CSProtocol.h","1106"
"0x52F0","21232","CS_GUILDPEER_REQ","CS_MAP","0x0070","CSProtocol.h","1115"
"0x52F1","21233","CS_GUILDPEER_ACK","CS_MAP","0x0071","CSProtocol.h","1118"
"0x52F2","21234","CS_GUILDINFO_REQ","CS_MAP","0x0072","CSProtocol.h","1122"
"0x52F3","21235","CS_GUILDINFO_ACK","CS_MAP","0x0073","CSProtocol.h","1123"
"0x52F4","21236","CS_CHAT_REQ","CS_MAP","0x0074","CSProtocol.h","1150"
"0x52F5","21237","CS_CHAT_ACK","CS_MAP","0x0075","CSProtocol.h","1155"
"0x52F6","21238","CS_CABINETPUTIN_REQ","CS_MAP","0x0076","CSProtocol.h","1160"
"0x52F8","21240","CS_CABINETTAKEOUT_REQ","CS_MAP","0x0078","CSProtocol.h","1167"
"0x52FA","21242","CS_CABINETLIST_REQ","CS_MAP","0x007A","CSProtocol.h","1175"
"0x52FB","21243","CS_CABINETLIST_ACK","CS_MAP","0x007B","CSProtocol.h","1176"
